The Chaos Engine,
The Death and Return of Superman,
The Duel: Test Drive II,
The Faery Tale Adventure,
The Flintstones,
The Flintstones: The Movie,
The Great Circus Mystery Starring Mickey & Minnie,
The Great Waldo Search,
The Humans,
The Immortal,
The Incredible Crash Dummies,
The Incredible Hulk (1994),
The Killing Game Show,
The Lawnmower Man,
The Lost Vikings,
The Lost World: Jurassic Park (1997),
The NewZealand Story,
The Ooze (1995),
The Ottifants,
The Pagemaster,
The Punisher (1993 video game),
The Ren & Stimpy Show: Stimpy's Invention,
The Revenge of Shinobi,
The Revenge of Shinobi (1989),
The Second Samurai,
The Simpsons: Bart vs. the Space Mutants,
The Simpsons: Bart's Nightmare,
The Smurfs (1994),
The Smurfs Travel the World,
The Tick,
Theme Park,
Thomas the Tank Engine & Friends,
Thunder Force II,
Thunder Force III,
Thunder Force IV,
Thunder Fox,
Thunder Pro Wrestling Retsuden,
Time Killers,
Tinhead,
Tintin in Tibet,
Tiny Toon Adventures: ACME All-Stars,
Tiny Toon Adventures: Buster's Hidden Treasure,
TNN Outdoors Bass Tournament '96,
Todd's Adventures in Slime World,
Toe Jam & Earl,
ToeJam & Earl,
Toejam & Earl in Panic on Funkotron,
Toki,
Tom Mason's Dinosaurs for Hire,
Tommy Lasorda Baseball,
Top Gear 2,
Top Shooter,
Total Football,
Toughman Contest,
Tougiou King Colossus,
Toxic Crusaders,
Toy Story,
Toy Story (1995),
Toy Story (SNES),
Toys,
Trampoline Terror!,
Traysia,
Triple Play 96,
Trouble Shooter,
Troy Aikman NFL Football,
True Golf Classics: Pebble Beach Golf Links,
True Golf Classics: Waialae Country Club,
True Golf Classics: Wicked 18,
True Lies,
Truxton,
Turbo Outrun (1989),
Turma da Mônica na Terra dos Monstros,
Turrican,
Turrican II: The Final Fight,
Twin Cobra,
Twin Hawk,
Twinkle Tale,
Ultimate Mortal Kombat 3,
Ultimate Soccer,
Ultraman: Towards the Future,
Uncharted Waters / 大航海時代,
Uncharted Waters: New Horizons,
Unnecessary Roughness '95,
Urban Strike,
USAAF Mustang,
Uzu Keobukseon,
Valis II,
Valis III,
Valis: The Fantasm Soldier,
Vapor Trail: Hyper Offence Formation,
Vectorman (1995),
Vectorman 2,
Venom/Spider-Man: Separation Anxiety,
Verytex,
Viewpoint,
Virtua Fighter 2 (1995),
Virtua Racing,
Virtual Bart,
Virtual Pinball,
Vixen 357,
Volfied (1989),
Wardner,
Warlock,
WarpSpeed,
Warrior of Rome,
Warrior of Rome II,
Warsong,
Water Margin - The Tale of Clouds and Wind,
Wayne Gretzky and the NHLPA All-Stars,
Wayne's World,
Weaponlord,
Wheel of Fortune (Old),
Where in Time Is Carmen Sandiego?,
Whip Rush,
Williams Arcade's Greatest Hits,
Winter Challenge (1991),
Wiz 'n' Liz,
Wolfchild,
Wolverine: Adamantium Rage,
WONDER BOY IN MONSTER WORLD,
Wonder Boy in Monster World (1991),
World Champion Soccer (1989),
World Championship Soccer,
World Championship Soccer 2,
World Class Leader Board Golf,
World Cup USA '94,
World Heroes (1993),
World of Illusion Starring Mickey Mouse and Donald Duck,
World Series Baseball,
World Series Baseball '95,
Worms,
Wrestle War,
WWF Raw,
WWF Royal Rumble,
WWF Super WrestleMania,
WWF WrestleMania: The Arcade Game,
XDR,
Xeno Crisis,
Xenon 2 Megablast,
Xenon 2: Megablast,
X-Men,
X-Men 2: Clone Wars,
X-Perts,
Ys III: Wanderers from Ys,
Yuu Yuu Hakusho: Makyo Toitsusen,
Zan: Yasha Enbukyoku,
Zany Golf,
Zero the Kamikaze Squirrel,
Zero Tolerance,
Zero Wing,
Zombies Ate My Neighbors (1993),
Zool,
Zoom!,
Zooming Secretary: Going Panic,
Zoop,
